Date,Hora,Zone,Demand
28/01/2010,20,GERENCIA,1612
28/01/2010,21,GERENCIA,1655
28/01/2010,22,GERENCIA,1606
28/01/2010,23,GERENCIA,1517
28/01/2010,24,GERENCIA,1409
29/01/2010,1,GERENCIA,1314
29/01/2010,2,GERENCIA,1243
29/01/2010,3,GERENCIA,1202
29/01/2010,4,GERENCIA,1178
29/01/2010,5,GERENCIA,1170
29/01/2010,6,GERENCIA,1175
29/01/2010,7,GERENCIA,1235
29/01/2010,8,GERENCIA,1338
29/01/2010,9,GERENCIA,1360
29/01/2010,10,GERENCIA,1386
29/01/2010,11,GERENCIA,1439
29/01/2010,12,GERENCIA,1484
29/01/2010,13,GERENCIA,1504
29/01/2010,14,GERENCIA,1499
29/01/2010,15,GERENCIA,1494
29/01/2010,16,GERENCIA,1493
29/01/2010,17,GERENCIA,1486
29/01/2010,18,GERENCIA,1470
29/01/2010,19,GERENCIA,1464
29/01/2010,20,GERENCIA,1585
29/01/2010,21,GERENCIA,1626
29/01/2010,22,GERENCIA,1569
29/01/2010,23,GERENCIA,1496
29/01/2010,24,GERENCIA,1408
30/01/2010,1,GERENCIA,1320
30/01/2010,2,GERENCIA,1245
30/01/2010,3,GERENCIA,1200
30/01/2010,4,GERENCIA,1175
30/01/2010,5,GERENCIA,1159
30/01/2010,6,GERENCIA,1162
30/01/2010,7,GERENCIA,1189
30/01/2010,8,GERENCIA,1230
30/01/2010,9,GERENCIA,1259
30/01/2010,10,GERENCIA,1340
30/01/2010,11,GERENCIA,1397
30/01/2010,12,GERENCIA,1436
30/01/2010,13,GERENCIA,1445
30/01/2010,14,GERENCIA,1439
30/01/2010,15,GERENCIA,1429
30/01/2010,16,GERENCIA,1413
30/01/2010,17,GERENCIA,1398
30/01/2010,18,GERENCIA,1383
30/01/2010,19,GERENCIA,1385
30/01/2010,20,GERENCIA,1555
30/01/2010,21,GERENCIA,1568
30/01/2010,22,GERENCIA,1525
30/01/2010,23,GERENCIA,1478
30/01/2010,24,GERENCIA,1394
31/01/2010,1,GERENCIA,1285
31/01/2010,2,GERENCIA,1203
31/01/2010,3,GERENCIA,1152
31/01/2010,4,GERENCIA,1125
31/01/2010,5,GERENCIA,1111
31/01/2010,6,GERENCIA,1108
31/01/2010,7,GERENCIA,1114
31/01/2010,8,GERENCIA,1125
31/01/2010,9,GERENCIA,1115
31/01/2010,10,GERENCIA,1168
31/01/2010,11,GERENCIA,1221
